perfil,Re,Mach,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,Au0,Au1,Au2,Au3,Au4,Au5,Au6,Al0,Al1,Al2,Al3,Al4,Al5,Al6,DeltaTE_upper,DeltaTE_lower,RMSE_upper,RMSE_lower,MaxError_upper,MaxError_lower,distance_to_train,d1,d3,d5,d10,d20,dmean3,dmean5,dmean10,dmean20,nearest_train_geom_index,nearest_train_profile,CL_pred,CD_pred,CM_pred,erro_CL_abs,erro_CL_pct,erro_CD_abs,erro_CD_pct,erro_CM_abs,erro_CM_pct,CL_CD_real,CL_CD_pred,erro_CL_CD_abs,erro_CL_CD_pct,faixa_distancia,faixa_alpha
ag04,250000,0.1,7.0,0.9297,0.01753,0.01009,-0.0276,0.0423,1.0,0.1205649429,0.1688141442,0.0652997043,0.1765423946,0.057438773,0.1261982005,0.0826627503,-0.0902442849,-0.0331945064,-0.0488985581,-0.0011489425,-0.0172661734,0.0004367704,-0.0139483085,0.0006704197,-0.0006704197,0.0001599037,0.0001901458,0.0006237187,0.0012725307,0.4909445129979003,0.4909445129979003,0.570885697010272,0.65988115850389,0.8967244981193182,1.389310016994063,0.5241695730969461,0.5668752017193258,0.6903477203439833,0.9273793918609202,5,ag08,0.9238956570625305,0.01937815733253956,-0.030437229201197624,0.005804342937469453,0.6243242914348127,0.001848157332539558,10.54282562772138,0.0028372292011976247,10.279815946368206,53.03479749001711,47.677167710427064,5.357629779590049,10.102102832764714,"(-0.001, 0.5]","[6.0, 9.0)"
ag04,250000,0.1,8.0,1.0178,0.02354,0.01665,-0.024,0.0216,1.0,0.1205649429,0.1688141442,0.0652997043,0.1765423946,0.057438773,0.1261982005,0.0826627503,-0.0902442849,-0.0331945064,-0.0488985581,-0.0011489425,-0.0172661734,0.0004367704,-0.0139483085,0.0006704197,-0.0006704197,0.0001599037,0.0001901458,0.0006237187,0.0012725307,0.4909445129979003,0.4909445129979003,0.570885697010272,0.65988115850389,0.8967244981193182,1.389310016994063,0.5241695730969461,0.5668752017193258,0.6903477203439833,0.9273793918609202,5,ag08,0.9949247241020203,0.02754996344447136,-0.02615347132086754,0.022875275897979774,2.2475217034761026,0.004009963444471361,17.034679033438238,0.002153471320867538,8.972797170281408,43.23704333050128,36.113468030814346,7.123575299686934,16.475630040737904,"(-0.001, 0.5]","[6.0, 9.0)"
ag04,250000,0.1,9.0,1.0828,0.03551,0.03008,-0.019,0.0165,1.0,0.1205649429,0.1688141442,0.0652997043,0.1765423946,0.057438773,0.1261982005,0.0826627503,-0.0902442849,-0.0331945064,-0.0488985581,-0.0011489425,-0.0172661734,0.0004367704,-0.0139483085,0.0006704197,-0.0006704197,0.0001599037,0.0001901458,0.0006237187,0.0012725307,0.4909445129979003,0.4909445129979003,0.570885697010272,0.65988115850389,0.8967244981193182,1.389310016994063,0.5241695730969461,0.5668752017193258,0.6903477203439833,0.9273793918609202,5,ag08,1.040462851524353,0.037851084023714066,-0.02136000618338585,0.04233714847564696,3.9099693826788844,0.0023410840237140657,6.592745772216462,0.0023600061833858495,12.421085175714996,30.49281892424669,27.48832373922219,3.0044951850245027,9.853123755099748,"(-0.001, 0.5]","[9.0, 12.0)"
ag04,250000,0.1,10.0,1.0709,0.05448,0.05081,-0.0144,0.0168,1.0,0.1205649429,0.1688141442,0.0652997043,0.1765423946,0.057438773,0.1261982005,0.0826627503,-0.0902442849,-0.0331945064,-0.0488985581,-0.0011489425,-0.0172661734,0.0004367704,-0.0139483085,0.0006704197,-0.0006704197,0.0001599037,0.0001901458,0.0006237187,0.0012725307,0.4909445129979003,0.4909445129979003,0.570885697010272,0.65988115850389,0.8967244981193182,1.389310016994063,0.5241695730969461,0.5668752017193258,0.6903477203439833,0.9273793918609202,5,ag08,1.019944190979004,0.0513417012989521,-0.015968890860676765,0.05095580902099606,4.758222898589603,0.003138298701047898,5.760460170792764,0.0015688908606767658,10.89507542136643,19.656754772393537,19.865804310614482,0.2090495382209454,1.0634997518234295,"(-0.001, 0.5]","[9.0, 12.0)"
ag04,250000,0.1,11.0,0.9958,0.08121,0.07828,-0.0328,0.0174,1.0,0.1205649429,0.1688141442,0.0652997043,0.1765423946,0.057438773,0.1261982005,0.0826627503,-0.0902442849,-0.0331945064,-0.0488985581,-0.0011489425,-0.0172661734,0.0004367704,-0.0139483085,0.0006704197,-0.0006704197,0.0001599037,0.0001901458,0.0006237187,0.0012725307,0.4909445129979003,0.4909445129979003,0.570885697010272,0.65988115850389,0.8967244981193182,1.389310016994063,0.5241695730969461,0.5668752017193258,0.6903477203439833,0.9273793918609202,5,ag08,0.9224360585212708,0.07339318096637726,-0.025104543194174767,0.07336394147872927,7.3673369631180226,0.007816819033622746,9.625439026748856,0.007695456805825236,23.46175855434523,12.262036694988302,12.568416389308094,0.3063796943197925,2.4986036328289165,"(-0.001, 0.5]","[9.0, 12.0)"
ag04,300000,0.1,0.0,0.2056,0.00598,0.00176,-0.042,0.9284,1.0,0.1205649429,0.1688141442,0.0652997043,0.1765423946,0.057438773,0.1261982005,0.0826627503,-0.0902442849,-0.0331945064,-0.0488985581,-0.0011489425,-0.0172661734,0.0004367704,-0.0139483085,0.0006704197,-0.0006704197,0.0001599037,0.0001901458,0.0006237187,0.0012725307,0.4909445129979003,0.4909445129979003,0.570885697010272,0.65988115850389,0.8967244981193182,1.389310016994063,0.5241695730969461,0.5668752017193258,0.6903477203439833,0.9273793918609202,5,ag08,0.21047934889793396,0.006097161676734686,-0.044905662536621094,0.004879348897933955,2.373224172146865,0.00011716167673468583,1.9592253634562846,0.002905662536621091,6.918244134812121,34.381270903010034,34.52087381921869,0.13960291620865917,0.4060435014240184,"(-0.001, 0.5]","[0.0, 3.0)"
ag04,300000,0.1,1.0,0.3082,0.00631,0.00158,-0.0379,0.7972,1.0,0.1205649429,0.1688141442,0.0652997043,0.1765423946,0.057438773,0.1261982005,0.0826627503,-0.0902442849,-0.0331945064,-0.0488985581,-0.0011489425,-0.0172661734,0.0004367704,-0.0139483085,0.0006704197,-0.0006704197,0.0001599037,0.0001901458,0.0006237187,0.0012725307,0.4909445129979003,0.4909445129979003,0.570885697010272,0.65988115850389,0.8967244981193182,1.389310016994063,0.5241695730969461,0.5668752017193258,0.6903477203439833,0.9273793918609202,5,ag08,0.3221819996833801,0.006157866679131985,-0.043895598500967026,0.013981999683380153,4.536664400837169,0.00015213332086801493,2.4109876524249594,0.005995598500967023,15.81952111073093,48.84310618066561,52.32039218633993,3.4772860056743227,7.119297435368261,"(-0.001, 0.5]","[0.0, 3.0)"
ag04,300000,0.1,2.0,0.412,0.00708,0.0017,-0.035,0.652,1.0,0.1205649429,0.1688141442,0.0652997043,0.1765423946,0.057438773,0.1261982005,0.0826627503,-0.0902442849,-0.0331945064,-0.0488985581,-0.0011489425,-0.0172661734,0.0004367704,-0.0139483085,0.0006704197,-0.0006704197,0.0001599037,0.0001901458,0.0006237187,0.0012725307,0.4909445129979003,0.4909445129979003,0.570885697010272,0.65988115850389,0.8967244981193182,1.389310016994063,0.5241695730969461,0.5668752017193258,0.6903477203439833,0.9273793918609202,5,ag08,0.42084425687789917,0.006448572035878897,-0.04057803377509117,0.008844256877899193,2.1466642907522315,0.0006314279641211036,8.918474069507113,0.005578033775091168,15.937239357403335,58.19209039548022,65.26161986504675,7.0695294695665325,12.148608894303655,"(-0.001, 0.5]","[0.0, 3.0)"
ag04,300000,0.1,3.0,0.518,0.0081,0.00212,-0.0332,0.4959,1.0,0.1205649429,0.1688141442,0.0652997043,0.1765423946,0.057438773,0.1261982005,0.0826627503,-0.0902442849,-0.0331945064,-0.0488985581,-0.0011489425,-0.0172661734,0.0004367704,-0.0139483085,0.0006704197,-0.0006704197,0.0001599037,0.0001901458,0.0006237187,0.0012725307,0.4909445129979003,0.4909445129979003,0.570885697010272,0.65988115850389,0.8967244981193182,1.389310016994063,0.5241695730969461,0.5668752017193258,0.6903477203439833,0.9273793918609202,5,ag08,0.5270481109619141,0.007329494226723909,-0.038129594177007675,0.009048110961914047,1.7467395679370745,0.0007705057732760902,9.512416954025806,0.004929594177007675,14.848175231950826,63.95061728395062,71.90784174987893,7.957224465928306,12.442764126258547,"(-0.001, 0.5]","[3.0, 6.0)"
ag04,300000,0.1,4.0,0.6244,0.00942,0.00291,-0.0321,0.3423,1.0,0.1205649429,0.1688141442,0.0652997043,0.1765423946,0.057438773,0.1261982005,0.0826627503,-0.0902442849,-0.0331945064,-0.0488985581,-0.0011489425,-0.0172661734,0.0004367704,-0.0139483085,0.0006704197,-0.0006704197,0.0001599037,0.0001901458,0.0006237187,0.0012725307,0.4909445129979003,0.4909445129979003,0.570885697010272,0.65988115850389,0.8967244981193182,1.389310016994063,0.5241695730969461,0.5668752017193258,0.6903477203439833,0.9273793918609202,5,ag08,0.6307830214500427,0.008455333299934864,-0.03627627342939377,0.0063830214500427696,1.0222648062208153,0.0009646667000651355,10.24062314294199,0.004176273429393772,13.010197599357546,66.28450106157112,74.60179262890819,8.317291567337065,12.547867803381672,"(-0.001, 0.5]","[3.0, 6.0)"
