perfil,Re,Mach,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
ag08,200000,0.1,8.0,1.0044,0.03314,0.02658,-0.0227,0.0245,1.0
ag08,200000,0.1,9.0,1.0438,0.04857,0.04402,-0.0179,0.0226,1.0
ag08,250000,0.1,0.0,0.1665,0.00673,0.00214,-0.0356,0.9881,1.0
ag08,250000,0.1,1.0,0.3222,0.00664,0.00189,-0.0434,0.8979,1.0
ag08,250000,0.1,2.0,0.4216,0.00727,0.00188,-0.0383,0.7165,1.0
ag08,250000,0.1,3.0,0.5236,0.0086,0.00234,-0.0353,0.5088,1.0
ag08,250000,0.1,4.0,0.6285,0.01009,0.00326,-0.0339,0.3437,1.0
ag08,250000,0.1,5.0,0.7338,0.01174,0.00458,-0.0327,0.2082,1.0
ag08,250000,0.1,6.0,0.8352,0.01449,0.00685,-0.0314,0.0693,1.0
ag08,250000,0.1,7.0,0.926,0.02045,0.01298,-0.028,0.0247,1.0
ag08,250000,0.1,8.0,1.0148,0.02822,0.02182,-0.0239,0.0196,1.0
ag08,250000,0.1,9.0,1.0163,0.03112,0.02646,-0.0141,0.0174,1.0
ag08,250000,0.1,10.0,0.9345,0.05302,0.04991,-0.0094,0.0195,1.0
ag08,250000,0.1,11.0,0.8027,0.09554,0.09282,-0.0335,0.0226,1.0
ag08,300000,0.1,0.0,0.1879,0.00606,0.00186,-0.0397,0.9744,1.0
ag08,300000,0.1,1.0,0.3189,0.00607,0.0016,-0.0418,0.8621,1.0
ag08,300000,0.1,2.0,0.4187,0.00689,0.00165,-0.0374,0.675,1.0
ag08,300000,0.1,3.0,0.5228,0.00818,0.00213,-0.0353,0.4757,1.0
ag08,300000,0.1,4.0,0.629,0.00956,0.00298,-0.0341,0.3219,1.0
ag08,300000,0.1,5.0,0.735,0.01113,0.0042,-0.0332,0.192,1.0
ag08,300000,0.1,6.0,0.8374,0.01367,0.00628,-0.032,0.0604,1.0
ag08,300000,0.1,7.0,0.9319,0.01856,0.01142,-0.0289,0.0218,1.0
