airfoil_id,arquivo_original,formato_dat,arquivo_cst,ordem_cst,chord_original,Au0,Au1,Au2,Au3,Au4,Au5,Au6,Al0,Al1,Al2,Al3,Al4,Al5,Al6,DeltaTE_upper,DeltaTE_lower,RMSE_upper,RMSE_lower,MaxError_upper,MaxError_lower
sd7037,sd7037.dat,selig,sd7037_cst.dat,6,0.9994366696,0.1635872717,0.2491395653,0.1113035115,0.3041892787,0.0806709524,0.2940234579,0.1294844444,-0.0966314670,-0.0301099062,-0.0721755800,0.0052847371,-0.0383926781,0.0053602849,0.0495580170,0.0000000000,0.0000000000,0.0003720662,0.0004366449,0.0019277797,0.0019277797
sd7062,sd7062.dat,selig,sd7062_cst.dat,6,0.9994816847,0.2637958936,0.3348028266,0.2223409488,0.3407210868,0.2037380203,0.2651259303,0.1836425228,-0.1565509408,-0.0301959751,-0.1734803779,0.0396398072,-0.0968845215,0.0152126807,0.0531570660,-0.0000000010,0.0000000010,0.0006377187,0.0007847226,0.0034618424,0.0034618424
sd7080,sd7080.dat,selig,sd7080_cst.dat,6,0.9999751861,0.1452849196,0.2542994528,0.0661923818,0.3189219432,0.0391412408,0.2929349377,0.1092262782,-0.1031885298,-0.0435414997,-0.0815693141,-0.0198835472,-0.0465174185,-0.0181537447,0.0297486828,-0.0000000031,0.0000000031,0.0003013985,0.0001724743,0.0012667746,0.0008077128
sd8020,sd8020.dat,selig,sd8020_cst.dat,6,1.0000000000,0.1327972070,0.1673335059,0.0807964329,0.1775478267,0.0791519090,0.1278319516,0.1126732133,-0.1327675722,-0.1673704418,-0.0807899063,-0.1774999716,-0.0791833541,-0.1277709296,-0.1127192936,0.0000000000,0.0000000000,0.0001637305,0.0001641910,0.0005365843,0.0005350889
sd8040,sd8040.dat,selig,sd8040_cst.dat,6,0.9994508027,0.2028553455,0.2044189710,0.1956575634,0.2063858526,0.1640620938,0.2375327309,0.1267064788,-0.1094681124,-0.0424317673,-0.0912973912,-0.0153041193,-0.0541158215,-0.0201768191,0.0262220722,-0.0000000000,-0.0000000000,0.0004656298,0.0004770926,0.0022785626,0.0022785626
sg6040,sg6040.dat,selig,sg6040_cst.dat,6,0.9995800421,0.2163949061,0.2568756747,0.2911737199,0.2599093989,0.3087727007,0.2456646347,0.2976184506,-0.1535293871,-0.1563905145,-0.0902922714,-0.2646030380,-0.0277348391,-0.1038018000,0.0771372099,-0.0000000000,-0.0000000000,0.0004105245,0.0004260734,0.0023909605,0.0023909605
sg6041,sg6041.dat,selig,sg6041_cst.dat,6,0.9991367103,0.1663715945,0.1925112120,0.1498428876,0.2114291053,0.1844976327,0.2229494680,0.1930272630,-0.1057940399,-0.0455861594,-0.1191354165,-0.0289278810,-0.1462380721,-0.0187897318,-0.0165271884,-0.0000978886,-0.0000978889,0.0002906988,0.0004379496,0.0015469889,0.0020889084
sg6042,sg6042.dat,selig,sg6042_cst.dat,6,0.9987201217,0.1758140293,0.2339796608,0.1812565248,0.2543169317,0.2603365626,0.2424133033,0.3083539225,-0.1270887114,0.0286039693,-0.1413282917,0.0662129488,-0.0915224954,0.0455421137,0.0860153403,-0.0001589794,-0.0001589794,0.0002186783,0.0006859033,0.0007139656,0.0028494082
sg6043,sg6043.dat,selig,sg6043_cst.dat,6,0.9984998851,0.2000294294,0.2636738551,0.2398608014,0.2714961939,0.3598437707,0.2479676425,0.4377355581,-0.1277234331,0.0823083278,-0.1243490167,0.1241635705,0.0001002731,0.0868283789,0.2001497292,-0.0002768154,-0.0002768163,0.0001923211,0.0009699730,0.0006015311,0.0048495039
sg6050,sg6050.dat,selig,sg6050_cst.dat,6,0.9995171636,0.2028283165,0.3168844630,0.2303554091,0.3390032676,0.2905707758,0.2476240653,0.2513145208,-0.1531841178,-0.1359084353,-0.1790836394,-0.0362759632,-0.0980191895,-0.1093719501,-0.0303538233,0.0050024129,-0.0050024129,0.0006435277,0.0004846285,0.0035206097,0.0020943402
sg6051,sg6051.dat,selig,sg6051_cst.dat,6,0.9995268408,0.1621488459,0.2366332000,0.1936331904,0.2819834847,0.2537743054,0.2547945448,0.1934883893,-0.1135159583,-0.0408388278,-0.1517965657,0.0212297185,-0.0960652908,-0.0336329125,-0.0412873179,0.0050023660,-0.0050023660,0.0003527510,0.0002962353,0.0016107304,0.0016107304
usa35b,usa35b.dat,lednicer,usa35b_cst.dat,6,1.0003471010,0.2168087250,0.2955673381,0.2017887926,0.3369240181,0.1466750637,0.2980011178,0.2046488734,-0.1596049626,0.0445678137,-0.1778027871,0.1203885534,-0.1233790417,0.0449128302,-0.0211019727,0.0012491327,-0.0012491327,0.0002494331,0.0002995622,0.0004199783,0.0006826325
usa45,usa45.dat,lednicer,usa45_cst.dat,6,1.0000000000,0.2068558805,0.5367222434,0.0177553977,0.5245630476,0.0323392907,0.3426440310,0.1758661770,-0.1254099646,-0.0512123432,-0.1221430847,-0.0172673161,-0.1325497452,-0.0514512090,-0.0860119146,0.0000000000,0.0000000000,0.0006101614,0.0001154630,0.0011229647,0.0002656662
w1011,w1011.dat,selig,w1011_cst.dat,6,0.9994773637,0.1574763496,0.1816216386,0.0926921059,0.1749582758,0.0694552882,0.1078429564,0.0922929709,-0.1585096128,-0.1802951643,-0.0953089881,-0.1722401910,-0.0719095865,-0.1066293766,-0.0928932497,0.0007969165,-0.0007969165,0.0002138088,0.0001884353,0.0016191755,0.0011648634
w1015,w1015.dat,selig,w1015_cst.dat,6,0.9994276165,0.2041812800,0.2388962317,0.1413693778,0.2311608061,0.1272791221,0.1547573961,0.1587810905,-0.2051685180,-0.2375729769,-0.1440407547,-0.2283166261,-0.1298409826,-0.1534941044,-0.1593657556,0.0008334771,-0.0008334771,0.0003649305,0.0003519425,0.0028351792,0.0029176916
