perfil,Re,esperado,existente,ausente,cobertura_pct
mh44,250000,13,13,0,100.0
mh44,300000,13,13,0,100.0
mh45,200000,13,13,0,100.0
mh45,250000,13,13,0,100.0
mh45,300000,13,13,0,100.0
mh60,200000,13,13,0,100.0
mh60,250000,13,13,0,100.0
mh60,300000,13,13,0,100.0
mh61,200000,13,13,0,100.0
mh61,250000,13,13,0,100.0
mh61,300000,13,13,0,100.0
mh70,200000,13,13,0,100.0
mh70,250000,13,13,0,100.0
mh70,300000,13,13,0,100.0
mh91,200000,13,13,0,100.0
mh91,250000,13,13,0,100.0
mh91,300000,13,13,0,100.0
naca0008,200000,13,9,4,69.23076923076923
naca0008,250000,13,10,3,76.92307692307693
naca0008,300000,13,12,1,92.3076923076923
naca0010,200000,13,13,0,100.0
naca0010,250000,13,13,0,100.0
naca0010,300000,13,12,1,92.3076923076923
naca0015,200000,13,13,0,100.0
naca0015,250000,13,12,1,92.3076923076923
naca0015,300000,13,13,0,100.0
naca0018,200000,13,13,0,100.0
naca0018,250000,13,12,1,92.3076923076923
naca0018,300000,13,12,1,92.3076923076923
naca1408,200000,13,10,3,76.92307692307693
naca1408,250000,13,11,2,84.61538461538461
naca1408,300000,13,9,4,69.23076923076923
naca1410,200000,13,13,0,100.0
naca1410,250000,13,13,0,100.0
naca1410,300000,13,13,0,100.0
naca1412,200000,13,13,0,100.0
naca1412,250000,13,13,0,100.0
naca1412,300000,13,13,0,100.0
naca23012,200000,13,13,0,100.0
naca23012,250000,13,13,0,100.0
naca23012,300000,13,13,0,100.0
naca23015,200000,13,13,0,100.0
naca23015,250000,13,13,0,100.0
naca23015,300000,13,12,1,92.3076923076923
naca2408,200000,13,11,2,84.61538461538461
naca2408,250000,13,12,1,92.3076923076923
naca2408,300000,13,13,0,100.0
naca2410,200000,13,13,0,100.0
naca2410,250000,13,13,0,100.0
naca2410,300000,13,13,0,100.0
naca2412,200000,13,13,0,100.0
naca2412,250000,13,13,0,100.0
naca2412,300000,13,12,1,92.3076923076923
naca2415,200000,13,13,0,100.0
naca2415,250000,13,13,0,100.0
naca2415,300000,13,13,0,100.0
naca2421,200000,13,13,0,100.0
naca2421,250000,13,13,0,100.0
naca2421,300000,13,13,0,100.0
naca4412,200000,13,13,0,100.0
naca4412,250000,13,13,0,100.0
naca4412,300000,13,13,0,100.0
naca4415,200000,13,12,1,92.3076923076923
naca4415,250000,13,13,0,100.0
naca4415,300000,13,13,0,100.0
naca4421,200000,13,13,0,100.0
naca4421,250000,13,13,0,100.0
naca4421,300000,13,13,0,100.0
npl9510,200000,13,9,4,69.23076923076923
npl9510,250000,13,13,0,100.0
npl9510,300000,13,9,4,69.23076923076923
rae2822,200000,13,9,4,69.23076923076923
rae2822,250000,13,10,3,76.92307692307693
rae2822,300000,13,10,3,76.92307692307693
raf15,200000,13,13,0,100.0
raf15,250000,13,13,0,100.0
raf15,300000,13,13,0,100.0
raf19,200000,13,13,0,100.0
raf19,250000,13,0,13,0.0
raf19,300000,13,12,1,92.3076923076923
rg14,200000,13,13,0,100.0
rg14,250000,13,13,0,100.0
rg14,300000,13,13,0,100.0
rg15,200000,13,13,0,100.0
rg15,250000,13,13,0,100.0
rg15,300000,13,13,0,100.0
rg8,200000,13,11,2,84.61538461538461
rg8,250000,13,12,1,92.3076923076923
rg8,300000,13,13,0,100.0
s1010,200000,13,12,1,92.3076923076923
s1010,250000,13,12,1,92.3076923076923
s1010,300000,13,10,3,76.92307692307693
s1012,200000,13,13,0,100.0
s1012,250000,13,13,0,100.0
s1012,300000,13,13,0,100.0
s1014,200000,13,11,2,84.61538461538461
s1014,250000,13,13,0,100.0
s1014,300000,13,12,1,92.3076923076923
s1016,200000,13,13,0,100.0
s1016,250000,13,11,2,84.61538461538461
s1016,300000,13,12,1,92.3076923076923
s1020,200000,13,13,0,100.0
s1020,250000,13,13,0,100.0
s1020,300000,13,13,0,100.0
s102b,200000,13,13,0,100.0
s102b,250000,13,13,0,100.0
s102b,300000,13,13,0,100.0
s102s,200000,13,13,0,100.0
s102s,250000,13,13,0,100.0
s102s,300000,13,13,0,100.0
s1046,200000,13,13,0,100.0
s1046,250000,13,10,3,76.92307692307693
s1046,300000,13,13,0,100.0
s1091,200000,13,13,0,100.0
s1091,250000,13,13,0,100.0
s1091,300000,13,0,13,0.0
s1210,200000,13,13,0,100.0
s1210,250000,13,13,0,100.0
s1210,300000,13,13,0,100.0
s1221,200000,13,13,0,100.0
s1221,250000,13,13,0,100.0
s1221,300000,13,13,0,100.0
s1223,200000,13,13,0,100.0
s1223,250000,13,13,0,100.0
s1223,300000,13,13,0,100.0
s2027,200000,13,13,0,100.0
s2027,250000,13,13,0,100.0
s2027,300000,13,13,0,100.0
s2048,200000,13,13,0,100.0
s2048,250000,13,13,0,100.0
s2048,300000,13,13,0,100.0
s2091,200000,13,13,0,100.0
s2091,250000,13,13,0,100.0
s2091,300000,13,13,0,100.0
s3021,200000,13,13,0,100.0
s3021,250000,13,13,0,100.0
s3021,300000,13,13,0,100.0
s4061,200000,13,13,0,100.0
s4061,250000,13,13,0,100.0
s4061,300000,13,13,0,100.0
s4094,200000,13,13,0,100.0
s4094,250000,13,13,0,100.0
s4094,300000,13,13,0,100.0
s4095,200000,13,13,0,100.0
s4095,250000,13,13,0,100.0
s4095,300000,13,13,0,100.0
s4096,200000,13,13,0,100.0
s4096,250000,13,13,0,100.0
s4096,300000,13,13,0,100.0
s4110,200000,13,13,0,100.0
s4110,250000,13,13,0,100.0
s4110,300000,13,13,0,100.0
s4158,200000,13,13,0,100.0
s4158,250000,13,13,0,100.0
s4158,300000,13,13,0,100.0
s4180,200000,13,13,0,100.0
s4180,250000,13,13,0,100.0
s4180,300000,13,13,0,100.0
s8064,200000,13,13,0,100.0
s8064,250000,13,12,1,92.3076923076923
s8064,300000,13,13,0,100.0
s8065,200000,13,13,0,100.0
s8065,250000,13,12,1,92.3076923076923
s8065,300000,13,13,0,100.0
s8066,200000,13,8,5,61.53846153846154
s8066,250000,13,13,0,100.0
s8066,300000,13,13,0,100.0
sa7024,200000,13,13,0,100.0
sa7024,250000,13,13,0,100.0
sa7024,300000,13,11,2,84.61538461538461
sa7026,200000,13,13,0,100.0
sa7026,250000,13,13,0,100.0
sa7026,300000,13,13,0,100.0
sa7035,200000,13,13,0,100.0
sa7035,250000,13,13,0,100.0
sa7035,300000,13,12,1,92.3076923076923
sa7036,200000,13,13,0,100.0
sa7036,250000,13,13,0,100.0
sa7036,300000,13,12,1,92.3076923076923
sa7038,200000,13,13,0,100.0
sa7038,250000,13,13,0,100.0
sa7038,300000,13,12,1,92.3076923076923
sd2030,200000,13,13,0,100.0
sd2030,250000,13,12,1,92.3076923076923
sd2030,300000,13,13,0,100.0
sd7003,200000,13,13,0,100.0
sd7003,250000,13,13,0,100.0
sd7003,300000,13,12,1,92.3076923076923
sd7032,200000,13,13,0,100.0
sd7032,250000,13,12,1,92.3076923076923
sd7032,300000,13,13,0,100.0
sd7037,200000,13,13,0,100.0
sd7037,250000,13,13,0,100.0
sd7037,300000,13,13,0,100.0
sd7062,200000,13,13,0,100.0
sd7062,250000,13,13,0,100.0
sd7062,300000,13,13,0,100.0
sd7080,200000,13,13,0,100.0
sd7080,250000,13,13,0,100.0
sd7080,300000,13,13,0,100.0
sd8020,200000,13,13,0,100.0
sd8020,250000,13,13,0,100.0
sd8020,300000,13,12,1,92.3076923076923
sd8040,200000,13,13,0,100.0
sd8040,250000,13,13,0,100.0
sd8040,300000,13,13,0,100.0
sg6040,200000,13,13,0,100.0
sg6040,250000,13,13,0,100.0
sg6040,300000,13,13,0,100.0
sg6041,200000,13,12,1,92.3076923076923
sg6041,250000,13,13,0,100.0
sg6041,300000,13,13,0,100.0
sg6042,200000,13,13,0,100.0
sg6042,250000,13,13,0,100.0
sg6042,300000,13,13,0,100.0
sg6043,200000,13,13,0,100.0
sg6043,250000,13,13,0,100.0
sg6043,300000,13,13,0,100.0
sg6050,200000,13,13,0,100.0
sg6050,250000,13,13,0,100.0
sg6050,300000,13,12,1,92.3076923076923
sg6051,200000,13,13,0,100.0
sg6051,250000,13,13,0,100.0
sg6051,300000,13,13,0,100.0
usa35b,200000,13,13,0,100.0
usa35b,250000,13,13,0,100.0
usa35b,300000,13,13,0,100.0
usa45,200000,13,13,0,100.0
usa45,250000,13,13,0,100.0
usa45,300000,13,13,0,100.0
w1011,200000,13,13,0,100.0
w1011,250000,13,13,0,100.0
