Au0,Au1,Au2,Au3,Au4,Au5,Au6,Al0,Al1,Al2,Al3,Al4,Al5,Al6,DeltaTE_upper,DeltaTE_lower,Re,alpha
0.1333383349,0.1838026549,0.1589580571,0.2322534935,0.1578608954,0.2209657468,0.2382460768,-0.1081593377,0.0046739877,-0.0403964053,0.0938477755,-0.0100171803,0.1063401531,0.0515668515,0.0030665026,-0.0030665026,250000,2.0
0.1333383349,0.1838026549,0.1589580571,0.2322534935,0.1578608954,0.2209657468,0.2382460768,-0.1081593377,0.0046739877,-0.0403964053,0.0938477755,-0.0100171803,0.1063401531,0.0515668515,0.0030665026,-0.0030665026,250000,3.0
0.1333383349,0.1838026549,0.1589580571,0.2322534935,0.1578608954,0.2209657468,0.2382460768,-0.1081593377,0.0046739877,-0.0403964053,0.0938477755,-0.0100171803,0.1063401531,0.0515668515,0.0030665026,-0.0030665026,250000,4.0
0.1333383349,0.1838026549,0.1589580571,0.2322534935,0.1578608954,0.2209657468,0.2382460768,-0.1081593377,0.0046739877,-0.0403964053,0.0938477755,-0.0100171803,0.1063401531,0.0515668515,0.0030665026,-0.0030665026,250000,5.0
0.1333383349,0.1838026549,0.1589580571,0.2322534935,0.1578608954,0.2209657468,0.2382460768,-0.1081593377,0.0046739877,-0.0403964053,0.0938477755,-0.0100171803,0.1063401531,0.0515668515,0.0030665026,-0.0030665026,250000,6.0
0.1333383349,0.1838026549,0.1589580571,0.2322534935,0.1578608954,0.2209657468,0.2382460768,-0.1081593377,0.0046739877,-0.0403964053,0.0938477755,-0.0100171803,0.1063401531,0.0515668515,0.0030665026,-0.0030665026,250000,7.0
0.1333383349,0.1838026549,0.1589580571,0.2322534935,0.1578608954,0.2209657468,0.2382460768,-0.1081593377,0.0046739877,-0.0403964053,0.0938477755,-0.0100171803,0.1063401531,0.0515668515,0.0030665026,-0.0030665026,250000,8.0
0.1333383349,0.1838026549,0.1589580571,0.2322534935,0.1578608954,0.2209657468,0.2382460768,-0.1081593377,0.0046739877,-0.0403964053,0.0938477755,-0.0100171803,0.1063401531,0.0515668515,0.0030665026,-0.0030665026,250000,9.0
0.1333383349,0.1838026549,0.1589580571,0.2322534935,0.1578608954,0.2209657468,0.2382460768,-0.1081593377,0.0046739877,-0.0403964053,0.0938477755,-0.0100171803,0.1063401531,0.0515668515,0.0030665026,-0.0030665026,250000,10.0
0.1333383349,0.1838026549,0.1589580571,0.2322534935,0.1578608954,0.2209657468,0.2382460768,-0.1081593377,0.0046739877,-0.0403964053,0.0938477755,-0.0100171803,0.1063401531,0.0515668515,0.0030665026,-0.0030665026,250000,11.0
0.1333383349,0.1838026549,0.1589580571,0.2322534935,0.1578608954,0.2209657468,0.2382460768,-0.1081593377,0.0046739877,-0.0403964053,0.0938477755,-0.0100171803,0.1063401531,0.0515668515,0.0030665026,-0.0030665026,250000,12.0
0.1333383349,0.1838026549,0.1589580571,0.2322534935,0.1578608954,0.2209657468,0.2382460768,-0.1081593377,0.0046739877,-0.0403964053,0.0938477755,-0.0100171803,0.1063401531,0.0515668515,0.0030665026,-0.0030665026,300000,0.0
0.1333383349,0.1838026549,0.1589580571,0.2322534935,0.1578608954,0.2209657468,0.2382460768,-0.1081593377,0.0046739877,-0.0403964053,0.0938477755,-0.0100171803,0.1063401531,0.0515668515,0.0030665026,-0.0030665026,300000,1.0
0.1333383349,0.1838026549,0.1589580571,0.2322534935,0.1578608954,0.2209657468,0.2382460768,-0.1081593377,0.0046739877,-0.0403964053,0.0938477755,-0.0100171803,0.1063401531,0.0515668515,0.0030665026,-0.0030665026,300000,2.0
0.1333383349,0.1838026549,0.1589580571,0.2322534935,0.1578608954,0.2209657468,0.2382460768,-0.1081593377,0.0046739877,-0.0403964053,0.0938477755,-0.0100171803,0.1063401531,0.0515668515,0.0030665026,-0.0030665026,300000,3.0
0.1333383349,0.1838026549,0.1589580571,0.2322534935,0.1578608954,0.2209657468,0.2382460768,-0.1081593377,0.0046739877,-0.0403964053,0.0938477755,-0.0100171803,0.1063401531,0.0515668515,0.0030665026,-0.0030665026,300000,4.0
0.1333383349,0.1838026549,0.1589580571,0.2322534935,0.1578608954,0.2209657468,0.2382460768,-0.1081593377,0.0046739877,-0.0403964053,0.0938477755,-0.0100171803,0.1063401531,0.0515668515,0.0030665026,-0.0030665026,300000,5.0
0.1333383349,0.1838026549,0.1589580571,0.2322534935,0.1578608954,0.2209657468,0.2382460768,-0.1081593377,0.0046739877,-0.0403964053,0.0938477755,-0.0100171803,0.1063401531,0.0515668515,0.0030665026,-0.0030665026,300000,6.0
0.1333383349,0.1838026549,0.1589580571,0.2322534935,0.1578608954,0.2209657468,0.2382460768,-0.1081593377,0.0046739877,-0.0403964053,0.0938477755,-0.0100171803,0.1063401531,0.0515668515,0.0030665026,-0.0030665026,300000,7.0
0.1333383349,0.1838026549,0.1589580571,0.2322534935,0.1578608954,0.2209657468,0.2382460768,-0.1081593377,0.0046739877,-0.0403964053,0.0938477755,-0.0100171803,0.1063401531,0.0515668515,0.0030665026,-0.0030665026,300000,8.0
0.1333383349,0.1838026549,0.1589580571,0.2322534935,0.1578608954,0.2209657468,0.2382460768,-0.1081593377,0.0046739877,-0.0403964053,0.0938477755,-0.0100171803,0.1063401531,0.0515668515,0.0030665026,-0.0030665026,300000,9.0
0.1758499382,0.0204400842,0.2433597257,-0.0561627022,0.21745248,0.0612388397,0.0282419498,-0.1442573971,0.0150263749,-0.2582639817,0.1047857629,-0.2399976252,0.0295697562,-0.0892222816,0.0035024771,-0.0035024771,200000,0.0
0.1758499382,0.0204400842,0.2433597257,-0.0561627022,0.21745248,0.0612388397,0.0282419498,-0.1442573971,0.0150263749,-0.2582639817,0.1047857629,-0.2399976252,0.0295697562,-0.0892222816,0.0035024771,-0.0035024771,200000,1.0
0.1758499382,0.0204400842,0.2433597257,-0.0561627022,0.21745248,0.0612388397,0.0282419498,-0.1442573971,0.0150263749,-0.2582639817,0.1047857629,-0.2399976252,0.0295697562,-0.0892222816,0.0035024771,-0.0035024771,200000,2.0
0.1758499382,0.0204400842,0.2433597257,-0.0561627022,0.21745248,0.0612388397,0.0282419498,-0.1442573971,0.0150263749,-0.2582639817,0.1047857629,-0.2399976252,0.0295697562,-0.0892222816,0.0035024771,-0.0035024771,200000,3.0
0.1758499382,0.0204400842,0.2433597257,-0.0561627022,0.21745248,0.0612388397,0.0282419498,-0.1442573971,0.0150263749,-0.2582639817,0.1047857629,-0.2399976252,0.0295697562,-0.0892222816,0.0035024771,-0.0035024771,200000,4.0
0.1758499382,0.0204400842,0.2433597257,-0.0561627022,0.21745248,0.0612388397,0.0282419498,-0.1442573971,0.0150263749,-0.2582639817,0.1047857629,-0.2399976252,0.0295697562,-0.0892222816,0.0035024771,-0.0035024771,200000,5.0
0.1758499382,0.0204400842,0.2433597257,-0.0561627022,0.21745248,0.0612388397,0.0282419498,-0.1442573971,0.0150263749,-0.2582639817,0.1047857629,-0.2399976252,0.0295697562,-0.0892222816,0.0035024771,-0.0035024771,200000,6.0
0.1758499382,0.0204400842,0.2433597257,-0.0561627022,0.21745248,0.0612388397,0.0282419498,-0.1442573971,0.0150263749,-0.2582639817,0.1047857629,-0.2399976252,0.0295697562,-0.0892222816,0.0035024771,-0.0035024771,200000,7.0
0.1758499382,0.0204400842,0.2433597257,-0.0561627022,0.21745248,0.0612388397,0.0282419498,-0.1442573971,0.0150263749,-0.2582639817,0.1047857629,-0.2399976252,0.0295697562,-0.0892222816,0.0035024771,-0.0035024771,200000,8.0
0.1758499382,0.0204400842,0.2433597257,-0.0561627022,0.21745248,0.0612388397,0.0282419498,-0.1442573971,0.0150263749,-0.2582639817,0.1047857629,-0.2399976252,0.0295697562,-0.0892222816,0.0035024771,-0.0035024771,200000,9.0
0.1758499382,0.0204400842,0.2433597257,-0.0561627022,0.21745248,0.0612388397,0.0282419498,-0.1442573971,0.0150263749,-0.2582639817,0.1047857629,-0.2399976252,0.0295697562,-0.0892222816,0.0035024771,-0.0035024771,200000,10.0
0.1758499382,0.0204400842,0.2433597257,-0.0561627022,0.21745248,0.0612388397,0.0282419498,-0.1442573971,0.0150263749,-0.2582639817,0.1047857629,-0.2399976252,0.0295697562,-0.0892222816,0.0035024771,-0.0035024771,200000,11.0
